cik,NAME
105982,WELLS FARGO BANK
1145991,WELLS FARGO BANK
1039180,WELLS FARGO BANK
1488662,WELLS FARGO BANK
912079,WELLS FARGO BANK
1556463,WELLS FARGO BANK
838607,WELLS FARGO BANK
872728,WELLS FARGO BANK
854735,WELLS FARGO BANK
863491,WELLS FARGO BANK
926832,WELLS FARGO BANK
905564,WELLS FARGO BANK
839595,WELLS FARGO BANK
1145993,WELLS FARGO BANK
945610,WELLS FARGO BANK
36603,WELLS FARGO BANK
735218,WELLS FARGO BANK
740906,WELLS FARGO BANK
823415,WELLS FARGO BANK
25728,WELLS FARGO BANK
827124,WELLS FARGO BANK
25728,WELLS FARGO BANK
1145994,WELLS FARGO BANK
315163,WELLS FARGO BANK
1109466,WELLS FARGO BANK
948782,WELLS FARGO BANK
945609,WELLS FARGO BANK
1035366,WELLS FARGO BANK
838688,WELLS FARGO BANK
1542384,WELLS FARGO BANK
354238,WELLS FARGO BANK
354238,WELLS FARGO BANK
1014021,WELLS FARGO BANK
839309,WELLS FARGO BANK
945608,WELLS FARGO BANK
839187,WELLS FARGO BANK
101044,WELLS FARGO BANK
1177823,WELLS FARGO BANK
887833,WELLS FARGO BANK
842112,WELLS FARGO BANK
1009017,WELLS FARGO BANK
1106589,WELLS FARGO BANK
1327421,JP MORGAN CHASE BANK
839296,JP MORGAN CHASE BANK
1166678,JP MORGAN CHASE BANK
1168163,JP MORGAN CHASE BANK
1170968,JP MORGAN CHASE BANK
1171321,JP MORGAN CHASE BANK
1327421,JP MORGAN CHASE BANK
1208636,JP MORGAN CHASE BANK
1209192,JP MORGAN CHASE BANK
1198813,JP MORGAN CHASE BANK
1206251,JP MORGAN CHASE BANK
1223146,JP MORGAN CHASE BANK
1264059,JP MORGAN CHASE BANK
1209655,JP MORGAN CHASE BANK
1256074,JP MORGAN CHASE BANK
1179904,JP MORGAN CHASE BANK
1171484,JP MORGAN CHASE BANK
1270815,JP MORGAN CHASE BANK
1260907,JP MORGAN CHASE BANK
1163449,JP MORGAN CHASE BANK
1136857,JP MORGAN CHASE BANK
1013611,JP MORGAN CHASE BANK
1349681,JP MORGAN CHASE BANK
1354045,JP MORGAN CHASE BANK
1145066,JP MORGAN CHASE BANK
1342561,JP MORGAN CHASE BANK
1266796,JP MORGAN CHASE BANK
1317550,JP MORGAN CHASE BANK
1329950,JP MORGAN CHASE BANK
1388848,JP MORGAN CHASE BANK
838927,BANK OF AMERICA
1056941,BANK OF AMERICA
9586,BANK OF AMERICA
1056941,BANK OF AMERICA
9586,BANK OF AMERICA
1102113,BANK OF AMERICA
1012664,BANK OF AMERICA
1012664,BANK OF AMERICA
740104,BANK OF AMERICA
854517,BANK OF AMERICA
1024695,BANK OF AMERICA
1535134,BANK OF AMERICA
70858,BANK OF AMERICA
1085917,BANK OF AMERICA
1065050,BANK OF AMERICA
1011747,BANK OF AMERICA
1056053,TD BANK
949881,TD BANK
1001323,TD BANK
1115941,TD BANK
1337471,TD BANK
1082472,TD BANK
1304994,TD BANK
1082472,TD BANK
1082472,TD BANK
1022734,TD BANK
1483824,TD BANK
938766,PNC BANK
938766,PNC BANK
713676,PNC BANK
932975,PNC BANK
945600,PNC BANK
1207517,PNC BANK
900293,PNC BANK
839509,PNC BANK
1027508,PNC BANK
1008932,PNC BANK
1073197,PNC BANK
1008932,PNC BANK
1280875,PNC BANK
844779,PNC BANK
714427,PNC BANK
1146302,PNC BANK
847090,PNC BANK
778202,PNC BANK
